local_authority_name,region,asc_fte,asc_direct_care,asc_managers,asc_professionals,asc_other,asc_social_worker,asc_occupational_therapist,csc_cases,csc_caseload_fte,csc_social_worker_headcount,csc_leaver_headcount,csc_turnover_rate_headcount_%,csc_agency_headcount,csc_agency_worker_rate_headcount_%,inc_exc_20week_rate,age_11_to_15,age_16_to_19,age_20_to_25,age_5_to_10,under_5,total_ehcps
barking and dagenham,London,400,125,125,100,35,100,5,2173,16.5,190,50,26.3,58,23.4,24.71,64,7,0,133,55,259
barnet,London,425,40,80,100,200,95,15,1223,16,153,31,20.3,63,29.2,82.5,79,21,2,175,154,431
barnsley,Yorkshire and the Humber,475,300,55,70,65,70,0,1749,19.1,147,42,28.6,23,13.5,72.727,107,16,0,137,59,319
bath and north east somerset,South West,425,250,35,35,100,25,0,964,13.1,113,16,14.2,18,13.7,22.648,77,13,1,142,55,288
"bournemouth, christchurch and poole",South West,750,200,150,200,200,175,30,2311,16,204,47,23,105,34,6.736,132,39,1,138,97,407
bedford,Eastern,550,350,50,45,90,35,10,1213,15.7,99,23,23.2,24,19.5,77.232,54,7,0,95,72,228
bexley,London,225,40,50,85,45,65,20,1456,16.1,180,55,30.6,42,18.9,82.642,81,15,0,172,106,374
birmingham,West Midlands,1700,750,100,450,425,400,40,8428,17.2,695,124,17.8,170,19.7,62.681,291,52,3,599,396,1341
blackburn with darwen,North West,275,150,45,65,35,60,0,1233,16,122,31,25.4,12,9,94.828,23,5,0,97,48,173
blackpool,North West,700,300,100,100,175,100,0,1865,16.7,191,26,13.6,26,12,83.221,29,4,0,50,68,151
bolton,North West,550,225,75,125,100,125,10,1333,20.4,156,36,23.1,32,17,44.136,61,8,0,161,94,324
bracknell forest,South East,300,125,40,90,50,75,10,787,19.2,57,26,45.6,12,17.4,48.052,40,9,1,80,31,161
bradford,Yorkshire and the Humber,1700,900,225,300,250,250,45,5718,17.1,336,73,21.7,263,43.9,79.146,204,29,1,328,234,796
brent,London,350,150,40,125,20,100,20,2381,15.4,147,32,21.8,105,41.7,37.546,50,7,1,134,127,319
brighton and hove,South East,800,325,200,150,150,100,30,1723,13,237,30,12.7,0,0,54.688,98,13,1,124,91,327
"bristol, city of",South West,1000,450,150,175,200,150,30,2862,15.3,325,56,17.2,18,5.2,38.077,224,98,3,345,118,788
bromley,London,325,100,40,100,70,95,15,1346,14,187,38,20.3,60,24.3,27.211,83,23,0,126,103,335
buckinghamshire,South East,550,125,175,150,95,125,15,3266,18,235,65,27.7,93,28.4,60.594,198,33,3,345,165,744
bury,North West,425,200,40,80,100,75,5,741,16,108,26,24.1,40,27,51.049,159,19,1,154,98,431
calderdale,Yorkshire and the Humber,600,250,150,65,125,55,5,1306,14.7,151,33,21.9,23,13.2,99.353,63,12,1,113,128,317
cambridgeshire,Eastern,1000,475,125,175,275,150,15,2039,18.3,233,56,24,52,18.2,36.654,309,49,1,521,255,1135
camden,London,450,150,80,150,95,125,15,1440,16.7,184,29,15.8,29,13.6,96.875,33,5,0,56,37,131
central bedfordshire,Eastern,550,300,60,125,85,125,10,1156,13.1,157,40,25.5,32,16.9,9.434,158,32,0,220,125,535
cheshire east,North West,950,450,150,125,200,125,15,2103,22.2,168,38,22.6,18,9.7,39.195,226,31,0,305,205,767
cheshire west and chester,North West,850,500,200,100,70,80,20,1923,19.4,177,45,25.4,27,13.2,31.739,96,19,0,227,123,465
city of london,London,20,0,0,10,0,5,0,90,11.3,12,2,16.7,3,20,100,2,0,0,0,1,3
cornwall,South West,1000,225,150,200,425,175,30,2619,16.2,261,34,13,13,4.7,25.635,116,35,0,161,92,404
coventry,West Midlands,900,500,60,175,175,125,30,2945,13.4,376,75,19.9,74,16.4,77.596,88,10,1,160,108,367
croydon,London,700,250,175,175,95,175,10,2007,15.1,294,63,21.4,82,21.8,37.624,121,18,1,315,156,611
cumbria,North West,2600,1600,350,225,350,175,50,2883,15.5,270,21,7.8,71,20.8,67.191,133,16,0,234,138,521
darlington,North East,225,75,55,75,5,65,10,865,19.1,94,21,22.3,14,13,90.244,41,5,0,55,27,128
derby,East Midlands,500,225,100,100,85,95,10,2099,18.9,165,31,18.8,10,5.7,25.301,107,16,2,145,87,357
derbyshire,East Midlands,3500,1800,350,400,850,350,45,5131,18.5,466,64,13.7,41,8.1,31.273,205,27,0,256,95,583
devon,South West,1200,325,475,225,175,175,50,3129,18.3,343,52,15.2,114,24.9,11.817,282,76,0,408,166,932
doncaster,Yorkshire and the Humber,800,350,60,150,275,95,20,2125,17.7,206,30,14.6,53,20.5,71.617,61,12,0,139,31,243
dorset,South West,550,5,250,150,150,125,30,2216,15.3,227,29,12.8,27,10.6,62.174,168,39,0,190,107,504
dudley,West Midlands,800,325,100,100,275,80,15,1656,20.9,172,43,25,34,16.5,39.806,101,13,1,164,136,415
durham,North East,850,425,50,275,90,225,25,3667,16.7,334,46,13.8,27,7.5,26.792,185,18,0,289,113,605
ealing,London,450,150,90,150,45,150,5,2135,12.6,237,35,14.8,77,24.5,34.914,67,15,1,220,170,473
east riding of yorkshire,Yorkshire and the Humber,1500,800,200,150,375,150,10,1716,17.2,178,22,12.4,22,11,98.638,120,15,0,157,110,402
east sussex,South East,1600,600,300,225,500,150,60,3878,16.3,374,32,8.6,5,1.3,87.609,164,21,1,246,86,518
enfield,London,600,225,75,175,150,125,30,1448,14,208,37,17.8,41,16.5,88.225,122,32,1,251,164,570
essex,Eastern,1500,425,300,600,150,500,100,5577,13.6,960,102,10.6,14,1.4,10.745,283,30,7,594,290,1204
gateshead,North East,650,250,70,70,250,55,15,2368,16.5,164,1,0.6,8,4.7,97.633,31,4,0,94,59,188
gloucestershire,South West,1000,475,175,75,300,75,0,3816,15,368,81,22,144,28.1,28.605,196,23,1,464,180,864
greenwich,London,475,80,100,80,200,60,15,1759,14,207,48,23.2,24,10.4,34.458,87,33,0,223,72,415
hackney,London,600,275,95,125,95,100,10,2286,15.4,187,40,21.4,72,27.8,47.403,60,11,0,152,105,328
halton,North West,1000,425,150,90,325,50,10,1062,18,65,21,32.3,66,50.4,53.081,59,8,0,87,61,215
hammersmith and fulham,London,350,150,35,125,55,80,25,1236,14.7,142,24,16.9,19,11.8,82.051,42,11,3,95,47,198
hampshire,South East,3600,1900,450,400,850,250,55,7851,19.4,527,124,23.5,143,21.3,45.254,813,155,9,1146,572,2695
haringey,London,275,100,35,75,60,60,15,1975,15.9,179,42,23.5,63,26,43.902,112,30,0,172,87,401
harrow,London,375,100,55,90,125,80,10,1831,17.7,135,31,23,47,25.8,25.391,32,11,0,152,70,265
hartlepool,North East,300,125,70,55,60,45,5,1268,16.7,135,17,12.6,1,0.7,55.128,29,1,0,51,13,94
havering,London,250,55,15,80,90,75,5,1493,20,110,30,27.3,51,31.7,x,42,9,0,115,123,289
"herefordshire, county of",West Midlands,275,15,50,75,150,70,10,1577,18.7,80,40,50,98,55.1,74.691,45,12,0,69,43,169
hertfordshire,Eastern,2300,1200,550,375,225,300,50,3609,14.2,513,106,20.7,18,3.4,32.303,331,47,4,676,280,1338
hillingdon,London,250,125,50,65,10,65,0,842,12,152,35,23,42,21.6,65.951,61,7,0,165,83,316
hounslow,London,650,250,55,95,225,75,10,1262,16.6,125,34,27.2,31,19.9,49.541,62,11,0,151,100,324
isle of wight,South East,650,375,75,85,125,80,0,1170,23.4,65,20,30.8,22,25.3,66.839,48,12,1,97,59,217
islington,London,450,175,65,125,70,100,15,1405,13.1,265,34,12.8,40,13.1,34.4,52,6,1,95,96,250
kensington and chelsea,London,225,25,35,95,80,85,10,568,13.5,178,29,16.3,14,7.3,86.301,15,4,0,40,20,79
kent,South East,2800,1200,650,400,550,200,200,10056,18.6,815,135,16.6,106,11.5,40.93,607,133,3,956,615,2314
"kingston upon hull, city of",Yorkshire and the Humber,850,450,100,125,175,100,10,3637,16.3,304,42,13.8,81,21,27.119,81,12,2,164,105,364
kingston upon thames,London,125,10,20,50,55,40,10,1491,13.1,130,26,20,47,26.6,71.616,53,6,0,144,29,232
kirklees,Yorkshire and the Humber,1300,750,250,150,175,150,0,2280,17.6,291,34,11.7,0,0,14.428,115,35,6,174,74,404
knowsley,North West,400,250,60,80,30,65,0,950,17.3,113,24,21.2,19,14.4,63.551,81,7,1,106,69,264
lambeth,London,550,55,85,200,225,175,20,1638,14.3,170,55,32.4,138,44.8,15.768,38,11,0,149,43,241
lancashire,North West,3600,2600,325,450,225,400,50,4443,17.1,410,54,13.2,52,11.3,98.649,243,30,1,476,349,1099
leeds,Yorkshire and the Humber,1500,700,325,325,125,275,30,4641,16.2,683,68,10,17,2.4,12.291,113,36,2,158,48,357
leicester,East Midlands,800,350,100,150,175,125,30,1532,16.7,169,29,17.2,29,14.6,45.556,166,37,0,243,94,540
leicestershire,East Midlands,1100,600,175,150,175,125,35,3329,16.7,304,59,19.4,59,16.3,3.802,167,29,1,251,192,640
lewisham,London,375,85,40,125,100,100,25,2082,14.8,145,0,0,66,31.3,40,41,4,0,89,65,199
lincolnshire,East Midlands,700,375,150,125,25,100,30,2832,16.4,291,48,16.5,48,14.2,76.616,135,18,1,251,176,581
liverpool,North West,1000,350,225,300,150,275,35,3242,21.4,269,52,19.3,58,17.7,91.744,335,26,1,494,243,1099
luton,Eastern,425,225,45,75,80,55,15,1458,16.5,141,27,19.1,81,36.5,27.476,36,10,0,158,103,307
manchester,North West,1800,950,150,275,400,250,10,3962,16.7,426,0,0,38,8.2,49.115,356,46,1,621,233,1257
medway,South East,275,75,70,95,30,80,20,2043,15.8,200,46,23,68,25.4,66.111,48,4,0,66,36,154
merton,London,325,200,45,45,50,30,0,937,12.2,111,18,16.2,52,31.9,46.154,72,9,0,118,54,253
