Financial year,Local authority name,Region,Carers of people in adult social care quality of life (Score (between 0 and 12)),Carers who found it easy to find information about services (Percentage),People in adult social care quality of life (Score (between -0.8 and 1.0)),People who use services who found it easy to find information (Percentage),"Requests resulting in a service (per 100,000 population)",Short term service provision (Percentage),Workforce turnover rate (Percentage),Council tax collection rates (in year) (Percentage),Council tax revenue per dwelling (GBP),Debt servicing as percentage of core spending power (Percentage),Level of band D council tax rates (GBP),Non-ringfenced reserves as percentage of net revenue expenditure (Percentage),Non-ringfenced reserves as percentage of service spend (Percentage),Nondomestic rates collection rates (in year) (Percentage),"Number of upheld complaints (per 100,000 population)",Social care spend as percentage of core spending power (Percentage),Total core spending power per dwelling (GBP),Total debt as percentage of core spending power (Percentage),Household waste recycling rate (Percentage),Recycling contamination rate (Percentage),Residual household waste (kg per household)
2015-16,barking and dagenham,London,7.415964523,61.35920177,0.402452128,67.1,1239,78.5,28.73509934,94.8,796.41,12.98448478,1036.67,119.5082063,97.07708089,98.2,3.4,64.55263852,1986.24,540.1090158,18.9,17.7,957.2
2016-17,barking and dagenham,London,7.4,59.3,0.401,70.9,1322,63.8,28.73509934,95.5,853.36,12.98448478,1078.03,119.5082063,97.07708089,98.3,7.2,64.55263852,1949.04,540.1090158,25.3,17.7,843.4
2017-18,barking and dagenham,London,7.415964523,61.35920177,0.427,68.9,1228,71.2,28.73509934,95.8,911.96,15.4,1131.83,41.8,42.6,98.2,5.7,64.8,1980.39,540.1090158,25,15.5,850.8
2018-19,barking and dagenham,London,7.4,59.9,0.43,69.6,3166,39,28.73509934,95.7,991.24,19.6,1199.63,46.2,47.7,98.3,5.2,67.9,2006.98,478.7,23.7,9.9,872.6
2019-20,barking and dagenham,London,7.415964523,61.35920177,0.41,71,3395,46.9,28.73509934,95.7,1052.48,20.8,1235.5,47.4,42,98,6.1,69.2,2020.7,533.5,25.2,5,891.2
2020-21,barking and dagenham,London,7.415964523,61.35920177,0.402452128,71.01325167,2400,44.3,28.73509934,93.2,1107.92,19.2,1284.8,78,60.3,86.9,5.1,69.7,2112.64,663.1,26.9,4,850
2021-22,barking and dagenham,London,7.1,52.9,0.397,57.1,1749,58.9,11.6,93.6,1164.42,19.8,1348.91,117.5,78.3,94.8,8.7,74,2174.19,721.4,30.5,4.8,772.4
2015-16,barnet,London,7.415964523,61.35920177,0.402452128,69.4,986,88.4,28.73509934,96.1,1307.88,12.98448478,1102.07,119.5082063,97.07708089,96.7,4.8,64.55263852,1816.92,540.1090158,36.8,3.4,646.8
2016-17,barnet,London,7.4,57.1,0.399,69.8,965,72.7,28.73509934,96.1,1325.18,12.98448478,1121.07,119.5082063,97.07708089,97,4.9,64.55263852,1749.95,540.1090158,37.4,4,623.9
2017-18,barnet,London,7.415964523,61.35920177,0.405,69.1,1164,94.5,28.73509934,96,1384.35,5.7,1154.7,34.2,31,96.9,4.9,65.2,1737.16,540.1090158,36.9,4.3,612.2
2018-19,barnet,London,6.7,58.3,0.428,70.4,1085,86.3,28.73509934,95.8,1436.63,5.9,1189.34,23.8,21.5,96.8,6.1,68.4,1722.41,190.1,34.6,5.2,611.5
2019-20,barnet,London,7.415964523,61.35920177,0.399,68.3,1077,40.7,28.73509934,95.7,1516.7,7.1,1224.9,21.6,20.4,96,8.1,65.8,1744.1,211.8,32,6.1,630.5
2020-21,barnet,London,7.415964523,61.35920177,0.402452128,71.01325167,1140,56.6,28.73509934,94.9,1587.01,5.7,1273.77,65,49,82.4,6.5,66.3,1832.91,250.9,28.9,7.2,670.1
2021-22,barnet,London,6.6,51.3,0.4,62.9,1259,54.5,26.7,94.5,1668.65,7.7,1337.33,71.2,53.1,90.8,5.4,72.3,1878.97,265.1,29.8,8.3,653.9
2015-16,barnsley,Yorkshire and The Humber,7.415964523,61.35920177,0.402452128,78.2,2957,72.4,28.73509934,96,829.42,12.98448478,1246.63,119.5082063,97.07708089,97.1,2.5,64.55263852,1651.84,540.1090158,45.4,5.2,510.5
2016-17,barnsley,Yorkshire and The Humber,7.5,65,0.468,73.7,3156,74.9,28.73509934,95.8,855.85,12.98448478,1295.25,119.5082063,97.07708089,97.3,2.5,64.55263852,1570.75,540.1090158,48.5,0,487.8
2017-18,barnsley,Yorkshire and The Humber,7.415964523,61.35920177,0.433,73.1,3075,88.2,28.73509934,96.1,918.73,-0.2,1358.72,86.7,70.5,98.4,1.2,55.6,1611.49,540.1090158,47.7,0,471.6
2018-19,barnsley,Yorkshire and The Humber,7.6,60.5,0.452,73.1,2995,92.1,28.73509934,96,962.05,21.2,1419.73,72.9,80.7,97.8,1.6,43.7,1616.93,509.8,46.5,0.9,481.1
2019-20,barnsley,Yorkshire and The Humber,7.415964523,61.35920177,0.45,69.7,2809,88.6,28.73509934,95.9,1025.6,21.6,1483.48,73.8,77.2,98.3,3.2,48,1646.65,511.7,47.1,0.7,478.8
2020-21,barnsley,Yorkshire and The Humber,7.415964523,61.35920177,0.402452128,71.01325167,2604,61.2,28.73509934,96.3,1073.92,20.6,1541.34,110.2,99.3,98.3,2,46.3,1752.34,519.8,43.2,1,537.8
2021-22,barnsley,Yorkshire and The Humber,7.4,60.5,0.47,73.1,2723,85,28,96.8,1100.36,19.6,1586.04,123.8,99.6,98.1,3.7,51.9,1780.72,483.6,44.9,0.6,518
2015-16,bath and north east somerset,South West,7.415964523,61.35920177,0.402452128,73.5,933,77.9,28.73509934,98.7,1225.97,12.98448478,1201.85,119.5082063,97.07708089,98,4.9,64.55263852,1543.85,540.1090158,52.6,0.3,456.6
2016-17,bath and north east somerset,South West,8.2,70,0.417,78.7,837,80.8,28.73509934,98.8,1266.54,12.98448478,1240.9,119.5082063,97.07708089,98.8,4.8,64.55263852,1499.37,540.1090158,54.1,0.1,449.4
2017-18,bath and north east somerset,South West,7.415964523,61.35920177,0.435,75.8,2090,75,28.73509934,98.1,1321.58,8.2,1284.33,36.4,33.1,98.8,4.8,71.6,1512.6,540.1090158,54.8,2,421.7
2018-19,bath and north east somerset,South West,8,62.8,0.429,71,945,67.8,28.73509934,98.2,1385.13,9.6,1347.89,41.7,35.9,98.6,2.6,74,1504.52,234.3,58.7,2.9,362.9
2019-20,bath and north east somerset,South West,7.415964523,61.35920177,0.407,69.4,1194,73.3,28.73509934,98.1,1467.11,11.2,1401.12,37.1,33.4,98.1,3.1,71.4,1525.56,235.3,56.2,5.1,389.7
2020-21,bath and north east somerset,South West,7.415964523,61.35920177,0.402452128,71.01325167,1202,72.4,28.73509934,98.5,1527.29,11,1456.88,55.1,49.2,94.4,1,67.3,1619.23,232.9,59.2,1.5,360.9
2021-22,bath and north east somerset,South West,7.8,58.2,0.41,68.1,986,68.1,26.9,97.8,1584.63,11.6,1529.57,66.2,55.3,97.2,1.6,70.6,1640.55,219.6,59.2,2.1,362.7
2015-16,bedford,East of England,7.415964523,61.35920177,0.402452128,78.4,1016,68.8,28.73509934,97.5,1222.86,12.98448478,1301.5,119.5082063,97.07708089,98.3,1.2,64.55263852,1915.09,540.1090158,37.5,5.1,672.8
2016-17,bedford,East of England,7.7,68.6,0.403,74,1034,99.6,28.73509934,97.6,1284.23,12.98448478,1353.42,119.5082063,97.07708089,98.5,1.2,64.55263852,1866.8,540.1090158,40.7,6.6,622.9
2017-18,bedford,East of England,7.415964523,61.35920177,0.424,75.2,926,94.2,28.73509934,97.6,1362.72,4.7,1417.72,35.1,34.8,98.9,2.4,64.1,1854.27,540.1090158,44.5,4.2,551.9
2018-19,bedford,East of England,7.5,68.9,0.4,72,886,87.5,28.73509934,97.6,1432.88,5.1,1470.88,31.6,31.2,99,2.3,65.9,1839.08,84.3,42.9,5.4,558.8
2019-20,bedford,East of England,7.415964523,61.35920177,0.37,75.7,792,86.2,28.73509934,97.4,1495.79,4.3,1507.51,34.8,30,97.7,1.7,66.3,1830.57,90.2,42.7,5.7,554.8
2020-21,bedford,East of England,7.415964523,61.35920177,0.402452128,71.01325167,1180,59.5,28.73509934,96.7,1549.73,4.8,1565.55,33.8,32,97.6,2.9,67.9,1915.9,90.8,40,6.4,584.6
2021-22,bedford,East of England,7.1,54.8,0.4,70.5,1085,64.9,24.7,97.1,1535.97,4.8,1624.14,36.2,30.2,97.7,4.3,72,1878.84,87.1,37,13.5,624.5
2015-16,bexley,London,7.415964523,61.35920177,0.402452128,69.8,2232,60,28.73509934,96.7,1176.06,12.98448478,1150.53,119.5082063,97.07708089,98.5,5.4,64.55263852,1629.42,540.1090158,52,0.7,470
2016-17,bexley,London,7.5,56.3,0.364,68.9,2524,60.4,28.73509934,96.5,1212.36,12.98448478,1196.43,119.5082063,97.07708089,98.8,6.5,64.55263852,1585.65,540.1090158,52.7,0.5,480.6
2017-18,bexley,London,7.415964523,61.35920177,0.415,75,2725,55.2,28.73509934,96.3,1263.42,5.6,1244.17,36.1,34.8,99,5.3,59.9,1600.23,540.1090158,52.1,0.5,480.6
2018-19,bexley,London,8,65.8,0.415,67.4,2040,67.5,28.73509934,96.3,1334,8.7,1293.81,23.4,22.8,98.6,5.7,61.5,1607.95,158.7,54.1,0.5,463.4
2019-20,bexley,London,7.415964523,61.35920177,0.409,72.9,1587,66.6,28.73509934,96.3,1416.75,6.5,1358.37,6.4,6.5,98.6,8.9,60.5,1629.47,157.6,54.2,0.9,438.4
